kkn_id,kkn_kode,kkn_periode,kkn_kabupaten,kkn_kecamatan,kkn_desa,kkn_kuota,kkn_status
,KKN23001,2023,Bangli,Bangli,Desa Kayubihi,16,00
,KKN23002,2023,Bangli,Bangli,Desa Pengotan,16,00
,KKN23003,2023,Bangli,Bangli,Desa Babalang,16,00
,KKN23004,2023,Bangli,Bangli,Desa Cempaga,16,00
,KKN23005,2023,Bangli,Bangli,Desa Kawan,16,00
,KKN23006,2023,Bangli,Kintamani,Desa Bayung Gede,16,00
,KKN23007,2023,Bangli,Kintamani,Desa Batur Selatan,16,00
,KKN23008,2023,Bangli,Kintamani,Desa Batur Tengah,16,00
,KKN23009,2023,Bangli,Kintamani,Desa Batur Utara,16,00
,KKN23010,2023,Bangli,Kintamani,Desa Bayung Cerik,16,00
,KKN23011,2023,Bangli,Susut,Desa Abuan,16,00
,KKN23012,2023,Bangli,Susut,Desa Apuan,16,00
,KKN23013,2023,Bangli,Susut,Desa  Demulih,16,00
,KKN23014,2023,Bangli,Susut,Desa Pengiangan,16,00
,KKN23015,2023,Bangli,Susut,Desa Selat,16,00
,KKN23016,2023,Bangli,Tembuku,Desa Bangbang,16,00
,KKN23017,2023,Bangli,Tembuku,Desa Jehem,16,00
,KKN23018,2023,Bangli,Tembuku,Desa  Peninjoan,16,00
,KKN23019,2023,Bangli,Tembuku,Desa Undisan ,16,00
,KKN23020,2023,Bangli,Tembuku,Desa  Yangapi,16,00
,KKN23021,2023,Tabanan,Tabanan,Desa Sudimara,16,00
,KKN23022,2023,Tabanan,Tabanan,Desa Gubug                   ,16,00
,KKN23023,2023,Tabanan,Tabanan,Desa Bongan               ,16,00
,KKN23024,2023,Tabanan,Tabanan,Desa Wanasari                 ,16,00
,KKN23025,2023,Tabanan,Tabanan,Desa Sasandan       ,16,00
,KKN23026,2023,Tabanan,Tabanan,Desa Subamia,16,00
,KKN23027,2023,Tabanan,Kerambitan,Desa Kerambitan,16,00
,KKN23028,2023,Tabanan,Kerambitan,Desa Baturiti,17,00
,KKN23029,2023,Tabanan,Kerambitan,Desa Tista,17,00
,KKN23030,2023,Tabanan,Kerambitan,Desa Kesiut,16,00
,KKN23031,2023,Tabanan,Kerambitan,Desa Batuaji,16,00
,KKN23032,2023,Tabanan,Kerambitan,Desa Timpag,16,00
,KKN23033,2023,Tabanan,Kediri,Desa Kediri,16,00
,KKN23034,2023,Tabanan,Kediri,Desa Kaba-kaba,16,00
,KKN23035,2023,Tabanan,Kediri,Desa  Banjar Anyar,16,00
,KKN23036,2023,Tabanan,Kediri,Desa Abian Tuyung,16,00
,KKN23037,2023,Tabanan,Kediri,Desa Pejaten,16,00
,KKN23038,2023,Tabanan,Kediri,Desa Bebalang,16,00
,KKN23039,2023,Tabanan,Kediri,Desa Bengkel,16,00
,KKN23040,2023,Tabanan,Kediri,Desa Cepaka,16,00
